,Symbol,Name,Sector,Industry
0,MMM,3M,Industrials,Industrial Conglomerates
1,AOS,A. O. Smith,Industrials,Building Products
2,ABT,Abbott Laboratories,Health Care,Health Care Equipment
3,ABBV,AbbVie,Health Care,Biotechnology
4,ACN,Accenture,Information Technology,IT Consulting & Other Services
5,ADBE,Adobe Inc.,Information Technology,Application Software
6,AMD,Advanced Micro Devices,Information Technology,Semiconductors
7,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
8,AFL,Aflac,Financials,Life & Health Insurance
9,A,Agilent Technologies,Health Care,Life Sciences Tools & Services
10,APD,Air Products,Materials,Industrial Gases
11,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
12,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure
13,ALB,Albemarle Corporation,Materials,Specialty Chemicals
14,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
15,ALGN,Align Technology,Health Care,Health Care Supplies
16,ALLE,Allegion,Industrials,Building Products
17,LNT,Alliant Energy,Utilities,Electric Utilities
18,ALL,Allstate,Financials,Property & Casualty Insurance
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
20,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
21,MO,Altria,Consumer Staples,Tobacco
22,AMZN,Amazon,Consumer Discretionary,Broadline Retail
23,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
24,AEE,Ameren,Utilities,Multi-Utilities
25,AEP,American Electric Power,Utilities,Electric Utilities
26,AXP,American Express,Financials,Consumer Finance
27,AIG,American International Group,Financials,Multi-line Insurance
28,AMT,American Tower,Real Estate,Telecom Tower REITs
29,AWK,American Water Works,Utilities,Water Utilities
30,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
31,AME,Ametek,Industrials,Electrical Components & Equipment
32,AMGN,Amgen,Health Care,Biotechnology
33,APH,Amphenol,Information Technology,Electronic Components
34,ADI,Analog Devices,Information Technology,Semiconductors
35,ANSS,Ansys,Information Technology,Application Software
36,AON,Aon,Financials,Insurance Brokers
37,APA,APA Corporation,Energy,Oil & Gas Exploration & Production
38,APO,Apollo Global Management,Financials,Asset Management & Custody Banks
39,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
40,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
41,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
42,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
43,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
44,ANET,Arista Networks,Information Technology,Communications Equipment
45,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
46,AIZ,Assurant,Financials,Multi-line Insurance
47,T,AT&T,Communication Services,Integrated Telecommunication Services
48,ATO,Atmos Energy,Utilities,Gas Utilities
49,ADSK,Autodesk,Information Technology,Application Software
50,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services
51,AZO,AutoZone,Consumer Discretionary,Automotive Retail
52,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
53,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
54,AXON,Axon Enterprise,Industrials,Aerospace & Defense
55,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
56,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
57,BAC,Bank of America,Financials,Diversified Banks
58,BAX,Baxter International,Health Care,Health Care Equipment
59,BDX,Becton Dickinson,Health Care,Health Care Equipment
60,BRKB,Berkshire Hathaway,Financials,Multi-Sector Holdings
61,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
62,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
63,BIIB,Biogen,Health Care,Biotechnology
64,BLK,BlackRock,Financials,Asset Management & Custody Banks
65,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks
66,BK,BNY Mellon,Financials,Asset Management & Custody Banks
67,BA,Boeing,Industrials,Aerospace & Defense
68,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
69,BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
70,BSX,Boston Scientific,Health Care,Health Care Equipment
71,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
72,AVGO,Broadcom,Information Technology,Semiconductors
73,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
74,BRO,Brown & Brown,Financials,Insurance Brokers
75,BFB,Brown–Forman,Consumer Staples,Distillers & Vintners
76,BLDR,Builders FirstSource,Industrials,Building Products
77,BG,Bunge Global,Consumer Staples,Agricultural Products & Services
78,BXP,"BXP, Inc.",Real Estate,Office REITs
79,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
80,CDNS,Cadence Design Systems,Information Technology,Application Software
81,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
82,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs
83,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats
84,COF,Capital One,Financials,Consumer Finance
85,CAH,Cardinal Health,Health Care,Health Care Distributors
86,KMX,CarMax,Consumer Discretionary,Automotive Retail
87,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
88,CARR,Carrier Global,Industrials,Building Products
89,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
90,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
91,CBRE,CBRE Group,Real Estate,Real Estate Services
92,CDW,CDW,Information Technology,Technology Distributors
93,CE,Celanese,Materials,Specialty Chemicals
94,COR,Cencora,Health Care,Health Care Distributors
95,CNC,Centene Corporation,Health Care,Managed Health Care
96,CNP,CenterPoint Energy,Utilities,Multi-Utilities
97,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
98,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
99,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
100,CHTR,Charter Communications,Communication Services,Cable & Satellite
101,CVX,Chevron Corporation,Energy,Integrated Oil & Gas
102,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
103,CB,Chubb Limited,Financials,Property & Casualty Insurance
104,CHD,Church & Dwight,Consumer Staples,Household Products
105,CI,Cigna,Health Care,Health Care Services
106,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
107,CTAS,Cintas,Industrials,Diversified Support Services
108,CSCO,Cisco,Information Technology,Communications Equipment
109,C,Citigroup,Financials,Diversified Banks
110,CFG,Citizens Financial Group,Financials,Regional Banks
111,CLX,Clorox,Consumer Staples,Household Products
112,CME,CME Group,Financials,Financial Exchanges & Data
113,CMS,CMS Energy,Utilities,Multi-Utilities
114,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
115,CTSH,Cognizant,Information Technology,IT Consulting & Other Services
116,CL,Colgate-Palmolive,Consumer Staples,Household Products
117,CMCSA,Comcast,Communication Services,Cable & Satellite
118,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
119,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
120,ED,Consolidated Edison,Utilities,Multi-Utilities
121,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
122,CEG,Constellation Energy,Utilities,Electric Utilities
123,COO,Cooper Companies (The),Health Care,Health Care Supplies
124,CPRT,Copart,Industrials,Diversified Support Services
125,GLW,Corning Inc.,Information Technology,Electronic Components
126,CPAY,Corpay,Financials,Transaction & Payment Processing Services
127,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
128,CSGP,CoStar Group,Real Estate,Real Estate Services
129,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
130,CTRA,Coterra,Energy,Oil & Gas Exploration & Production
131,CRWD,CrowdStrike,Information Technology,Systems Software
132,CCI,Crown Castle,Real Estate,Telecom Tower REITs
133,CSX,CSX Corporation,Industrials,Rail Transportation
134,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment
135,CVS,CVS Health,Health Care,Health Care Services
136,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services
137,DRI,Darden Restaurants,Consumer Discretionary,Restaurants
138,DVA,DaVita,Health Care,Health Care Services
139,DAY,Dayforce,Industrials,Human Resource & Employment Services
140,DECK,Deckers Brands,Consumer Discretionary,Footwear
141,DE,Deere & Company,Industrials,Agricultural & Farm Machinery
142,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals"
143,DAL,Delta Air Lines,Industrials,Passenger Airlines
144,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
145,DXCM,Dexcom,Health Care,Health Care Equipment
146,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
147,DLR,Digital Realty,Real Estate,Data Center REITs
148,DFS,Discover Financial,Financials,Consumer Finance
149,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
150,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
151,D,Dominion Energy,Utilities,Multi-Utilities
152,DPZ,Domino's,Consumer Discretionary,Restaurants
153,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
154,DOW,Dow Inc.,Materials,Commodity Chemicals
155,DHI,D. R. Horton,Consumer Discretionary,Homebuilding
156,DTE,DTE Energy,Utilities,Multi-Utilities
157,DUK,Duke Energy,Utilities,Electric Utilities
158,DD,DuPont,Materials,Specialty Chemicals
159,EMN,Eastman Chemical Company,Materials,Specialty Chemicals
160,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
161,EBAY,eBay,Consumer Discretionary,Broadline Retail
162,ECL,Ecolab,Materials,Specialty Chemicals
163,EIX,Edison International,Utilities,Electric Utilities
164,EW,Edwards Lifesciences,Health Care,Health Care Equipment
165,EA,Electronic Arts,Communication Services,Interactive Home Entertainment
166,ELV,Elevance Health,Health Care,Managed Health Care
167,EMR,Emerson Electric,Industrials,Electrical Components & Equipment
168,ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment
169,ETR,Entergy,Utilities,Electric Utilities
170,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
171,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
172,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
173,EFX,Equifax,Industrials,Research & Consulting Services
174,EQIX,Equinix,Real Estate,Data Center REITs
175,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs
176,ERIE,Erie Indemnity,Financials,Insurance Brokers
177,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs
178,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products
179,EG,Everest Group,Financials,Reinsurance
180,EVRG,Evergy,Utilities,Electric Utilities
181,ES,Eversource Energy,Utilities,Electric Utilities
182,EXC,Exelon,Utilities,Electric Utilities
183,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
184,EXPD,Expeditors International,Industrials,Air Freight & Logistics
185,EXR,Extra Space Storage,Real Estate,Self-Storage REITs
186,XOM,ExxonMobil,Energy,Integrated Oil & Gas
187,FFIV,"F5, Inc.",Information Technology,Communications Equipment
188,FDS,FactSet,Financials,Financial Exchanges & Data
189,FICO,Fair Isaac,Information Technology,Application Software
190,FAST,Fastenal,Industrials,Trading Companies & Distributors
191,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
192,FDX,FedEx,Industrials,Air Freight & Logistics
193,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services
194,FITB,Fifth Third Bancorp,Financials,Regional Banks
195,FSLR,First Solar,Information Technology,Semiconductors
196,FE,FirstEnergy,Utilities,Electric Utilities
197,FI,Fiserv,Financials,Transaction & Payment Processing Services
198,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
199,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
200,FTNT,Fortinet,Information Technology,Systems Software
201,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components
202,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting
203,FOX,Fox Corporation (Class B),Communication Services,Broadcasting
204,BEN,Franklin Resources,Financials,Asset Management & Custody Banks
205,FCX,Freeport-McMoRan,Materials,Copper
206,GRMN,Garmin,Consumer Discretionary,Consumer Electronics
207,IT,Gartner,Information Technology,IT Consulting & Other Services
208,GE,GE Aerospace,Industrials,Aerospace & Defense
209,GEHC,GE HealthCare,Health Care,Health Care Equipment
210,GEV,GE Vernova,Industrials,Heavy Electrical Equipment
211,GEN,Gen Digital,Information Technology,Systems Software
212,GNRC,Generac,Industrials,Electrical Components & Equipment
213,GD,General Dynamics,Industrials,Aerospace & Defense
214,GIS,General Mills,Consumer Staples,Packaged Foods & Meats
215,GM,General Motors,Consumer Discretionary,Automobile Manufacturers
216,GPC,Genuine Parts Company,Consumer Discretionary,Distributors
217,GILD,Gilead Sciences,Health Care,Biotechnology
218,GPN,Global Payments,Financials,Transaction & Payment Processing Services
219,GL,Globe Life,Financials,Life & Health Insurance
220,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure
221,GS,Goldman Sachs,Financials,Investment Banking & Brokerage
222,HAL,Halliburton,Energy,Oil & Gas Equipment & Services
223,HIG,Hartford (The),Financials,Property & Casualty Insurance
224,HAS,Hasbro,Consumer Discretionary,Leisure Products
225,HCA,HCA Healthcare,Health Care,Health Care Facilities
226,DOC,Healthpeak Properties,Real Estate,Health Care REITs
227,HSIC,Henry Schein,Health Care,Health Care Distributors
228,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats
229,HES,Hess Corporation,Energy,Integrated Oil & Gas
230,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
231,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
232,HOLX,Hologic,Health Care,Health Care Equipment
233,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail
234,HON,Honeywell,Industrials,Industrial Conglomerates
235,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
236,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
237,HWM,Howmet Aerospace,Industrials,Aerospace & Defense
238,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
239,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components
240,HUM,Humana,Health Care,Managed Health Care
241,HBAN,Huntington Bancshares,Financials,Regional Banks
242,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
243,IBM,IBM,Information Technology,IT Consulting & Other Services
244,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
245,IDXX,Idexx Laboratories,Health Care,Health Care Equipment
246,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
247,INCY,Incyte,Health Care,Biotechnology
248,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
249,PODD,Insulet Corporation,Health Care,Health Care Equipment
250,INTC,Intel,Information Technology,Semiconductors
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
252,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
253,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
254,IPG,Interpublic Group of Companies (The),Communication Services,Advertising
255,INTU,Intuit,Information Technology,Application Software
256,ISRG,Intuitive Surgical,Health Care,Health Care Equipment
